Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Kai'Sa,2270,2.56:1,0.5013,0.3254,0.1662,198,11911
Ezreal,1889,2.61:1,0.4923,0.2707,0.154,190.53,11100
Yone,1152,1.8:1,0.5,0.1651,0.0777,200.44,11522
Sylas,1078,2.3:1,0.4759,0.1545,0.2079,142.16,10483
Rakan,1047,2.96:1,0.4852,0.1501,0.0811,33.91,6970
Renekton,1021,1.96:1,0.5024,0.1463,0.1294,187.95,10910
Nautilus,954,2.34:1,0.5178,0.1367,0.1297,34.93,6993
Aatrox,950,1.98:1,0.5284,0.1362,0.1541,174.4,10643
Sivir,931,2.63:1,0.4694,0.1334,0.1492,210.42,11512
Lee Sin,909,2.83:1,0.4521,0.1303,0.0719,152.99,11120
Ekko,908,2.79:1,0.4857,0.1301,0.0916,171.64,11778
Thresh,907,2.78:1,0.5149,0.13,0.0372,33.1,7240
Ashe,888,2.61:1,0.4921,0.1273,0.1839,177.18,10710
Jayce,872,1.89:1,0.4862,0.125,0.0263,196.56,11604
Zed,846,2.48:1,0.4882,0.1213,0.3788,194.91,11795
Yasuo,839,1.93:1,0.5137,0.1203,0.1275,200.66,11401
Karma,819,2.62:1,0.4908,0.1174,0.0232,31.51,7759
Blitzcrank,804,2.72:1,0.5012,0.1152,0.3939,32.19,7270
Jarvan IV,795,3.5:1,0.4792,0.1139,0.2614,144.32,10640
Jhin,788,3.14:1,0.4987,0.1136,0.0039,187.05,11260
Graves,743,2.76:1,0.5289,0.1065,0.0766,189.32,12049
Briar,730,2.22:1,0.4795,0.1464,0.4024,160.45,11424
Senna,724,2.61:1,0.4779,0.1038,0.072,61.19,9312
Soraka,706,2.83:1,0.4688,0.1012,0.0117,15.73,6826
Alistar,684,2.53:1,0.4985,0.098,0.0537,31.06,6865
Hecarim,668,2.95:1,0.4865,0.0957,0.054,186.37,11506
Darius,666,2.03:1,0.5435,0.0955,0.1235,177.26,10871
Zeri,661,2.47:1,0.4962,0.0947,0.0346,213.08,12136
Xerath,649,2.84:1,0.5069,0.093,0.1704,85.69,9354
Akali,644,2.53:1,0.5031,0.0923,0.0792,166.08,10733
Xayah,631,2.25:1,0.4802,0.0904,0.0452,195.94,11100
Caitlyn,627,2.31:1,0.4992,0.0899,0.0348,192.74,11467
Malphite,623,2.51:1,0.4815,0.0893,0.1256,155.29,9467
Viego,588,2.49:1,0.4762,0.0843,0.0168,156.68,10978
Kayn,582,2.28:1,0.4863,0.0834,0.239,166.2,11409
Bel'Veth,570,2.66:1,0.5158,0.0817,0.1162,161.15,11111
Fiora,551,1.61:1,0.5136,0.079,0.1366,186.62,11153
Irelia,546,1.68:1,0.4853,0.0783,0.0829,208.6,11847
Ahri,545,2.95:1,0.5266,0.0781,0.0357,182.52,10540
Zyra,544,2.35:1,0.5331,0.078,0.105,32.94,8164
Talon,543,2.63:1,0.4991,0.0778,0.0523,182.09,12199
Vayne,537,2.24:1,0.5009,0.077,0.0552,187.4,11503
Samira,534,2.45:1,0.4738,0.0765,0.1094,179.73,12239
Rell,533,2.89:1,0.5066,0.0764,0.0877,33.48,7049
Taliyah,527,2.65:1,0.5085,0.0755,0.0608,184.53,11586
Orianna,518,2.8:1,0.5058,0.0742,0.0074,186.55,10526
Draven,515,2.27:1,0.5301,0.0738,0.1222,190.83,12691
Vladimir,512,2.45:1,0.4805,0.0734,0.0268,196.43,10906
Lux,509,2.44:1,0.4872,0.073,0.01,70.47,8817
Jax,502,1.7:1,0.512,0.072,0.0633,174.06,10653
Zac,490,3.49:1,0.5224,0.0702,0.0356,131.6,9466
Gangplank,488,2.34:1,0.5266,0.0699,0.0482,197.4,13185
Lucian,486,2.28:1,0.4506,0.0697,0.003,197.42,11629
Udyr,479,2.67:1,0.499,0.0687,0.0285,166.78,10353
Bard,478,3.09:1,0.4979,0.0689,0.0143,22.91,7302
Aphelios,464,2.07:1,0.4526,0.0665,0.0062,193.92,11371
Sion,458,1.68:1,0.5044,0.0656,0.0185,180.27,10549
Leona,447,2.36:1,0.4922,0.0641,0.0231,34.63,6990
Yuumi,447,4.45:1,0.4564,0.0641,0.0464,4.38,6919
Tristana,446,2.13:1,0.5224,0.0643,0.0178,190.7,11778
Seraphine,446,3.26:1,0.5202,0.0639,0.006,115.77,9150
Shaco,441,2.52:1,0.4853,0.0632,0.2025,99.89,10039
Pyke,441,2.29:1,0.4626,0.0632,0.1852,41.31,8532
Swain,439,2.64:1,0.4692,0.0629,0.0182,123.44,9645
Master Yi,435,2.07:1,0.5402,0.0623,0.2123,169.68,12400
Karthus,432,2.18:1,0.5093,0.0619,0.1081,186.75,11929
Tryndamere,430,1.77:1,0.5,0.0616,0.2917,207.1,11990
Kha'Zix,415,2.67:1,0.4675,0.0595,0.0784,159.37,11580
Lillia,406,3.29:1,0.5517,0.0582,0.0273,176.7,11321
LeBlanc,405,2.55:1,0.479,0.058,0.1866,181.6,11046
Heimerdinger,401,2.02:1,0.5162,0.0575,0.0252,101.99,9217
Rek'Sai,400,3.08:1,0.565,0.0573,0.2273,150.31,11518
Pantheon,400,2.23:1,0.505,0.0573,0.015,133.61,9992
Nidalee,400,2.89:1,0.4625,0.0573,0.0873,157.58,11368
Diana,399,2.18:1,0.4712,0.0572,0.0117,173.77,11238
Nasus,397,1.9:1,0.5239,0.0569,0.0356,174.44,10314
Lissandra,396,2.58:1,0.5025,0.0568,0.0223,154,9633
Gwen,378,2.03:1,0.463,0.0542,0.0346,184.86,11395
Poppy,372,2.61:1,0.5134,0.0533,0.0676,133.91,9330
Fiddlesticks,368,3.18:1,0.5245,0.0527,0.0696,157.33,11051
Singed,366,3.18:1,0.5437,0.0525,0.0195,163.73,9956
Aurelion Sol,362,3.01:1,0.5249,0.0519,0.0193,202.43,11791
Lulu,360,3.16:1,0.45,0.0516,0.0219,18.29,7010
Twisted Fate,355,2.85:1,0.5521,0.0509,0.0063,184.74,11505
Maokai,355,2.53:1,0.5014,0.0509,0.0055,83.03,8341
Mordekaiser,355,1.76:1,0.4676,0.0512,0.0288,168.93,10075
Ornn,349,2.37:1,0.4556,0.05,0.0069,165.94,9416
Elise,337,2.9:1,0.5015,0.0483,0.0645,123.09,10319
Nocturne,335,2.6:1,0.4836,0.048,0.0486,161.5,10820
Shen,332,3.41:1,0.5,0.0476,0.0061,133.47,8833
Camille,331,1.89:1,0.4713,0.0474,0.0129,167.34,10708
Akshan,328,2.34:1,0.5061,0.047,0.0636,183.62,11705
Rumble,318,2.85:1,0.5377,0.0456,0.0282,169.78,11226
K'Sante,311,1.8:1,0.4598,0.0446,0.0114,172.34,9830
Ziggs,310,2.61:1,0.5161,0.0444,0.0026,194.22,11362
Anivia,307,2.36:1,0.4821,0.044,0.0483,161.81,10202
Neeko,302,2.4:1,0.5,0.0433,0.0726,105.63,8926
Syndra,301,2.23:1,0.4983,0.0434,0.0152,187.7,11274
Vex,300,2.5:1,0.4867,0.043,0.0483,164.84,10347
Viktor,300,2.15:1,0.4533,0.043,0.0113,187.82,10803
Gnar,299,1.81:1,0.4615,0.0429,0.0051,190.61,10790
Kalista,291,2.58:1,0.5326,0.0419,0.0067,197.98,12182
Sett,277,1.81:1,0.5343,0.0397,0.0057,134.06,10108
Garen,275,1.9:1,0.5236,0.0394,0.0057,195.58,11174
Kindred,274,2.47:1,0.5474,0.0393,0.063,162.82,11137
Miss Fortune,270,2.34:1,0.5037,0.0389,0.0029,186.09,11577
Malzahar,260,2.29:1,0.4962,0.0373,0.05,201.99,10764
Zilean,257,3.25:1,0.4591,0.0368,0.0106,53.92,7733
Illaoi,255,1.3:1,0.5176,0.0365,0.1681,204.36,11490
Warwick,255,2.11:1,0.4745,0.0372,0.0118,158.09,10333
Evelynn,254,3.39:1,0.5236,0.0364,0.2556,149.15,11204
Katarina,249,2.53:1,0.5382,0.0357,0.0378,176.22,11574
Volibear,247,1.71:1,0.4453,0.0356,0.0052,160.19,10136
Nami,246,2.93:1,0.5041,0.0353,0.0006,11.75,7163
Gragas,246,2.61:1,0.4959,0.0353,0.005,143.07,10074
Azir,246,2.26:1,0.4837,0.0353,0.0091,198.72,11183
Twitch,241,2.53:1,0.556,0.0347,0.0202,167.67,11645
Kassadin,239,2.74:1,0.4979,0.0343,0.0375,185.44,11315
Rengar,234,2.43:1,0.5299,0.0335,0.0375,162.81,11514
Morgana,234,2.5:1,0.4829,0.0335,0.0624,37.54,7686
Kled,229,2.09:1,0.4978,0.033,0.0116,177.05,11109
Braum,215,2.78:1,0.5256,0.0308,0.004,30.89,6931
Galio,214,2.98:1,0.4953,0.0307,0.0051,151.88,9381
Milio,209,3.21:1,0.4976,0.03,0.0121,21.27,6726
Veigar,203,2.25:1,0.4926,0.0293,0.0037,181.52,10702
Annie,197,2.39:1,0.5025,0.0284,0.0046,121.39,9371
Sejuani,196,3.05:1,0.4796,0.0281,0.0025,145.72,10192
Naafiri,190,2.21:1,0.4789,0.0272,0.0744,176.89,11268
Rammus,190,2.6:1,0.4474,0.0272,0.0126,130.06,9574
Brand,187,1.94:1,0.5187,0.027,0.0034,97.75,9339
Taric,182,2.75:1,0.467,0.0261,0.0076,49.08,7127
Jinx,180,2.5:1,0.5056,0.0274,0.0009,199.57,11544
Fizz,180,2.66:1,0.4889,0.0258,0.0141,157.96,10743
Xin Zhao,179,2.45:1,0.5419,0.0258,0.0033,144.99,10090
Nilah,177,2.26:1,0.5028,0.0254,0.0314,180.37,11307
Vi,175,2.75:1,0.5314,0.0257,0.0056,152.3,10706
Yorick,174,1.33:1,0.4943,0.0249,0.0646,216.85,11781
Varus,174,2.08:1,0.4023,0.0249,0.0061,184.56,11113
Cho'Gath,172,2.03:1,0.4826,0.0248,0.0035,174.65,10475
Qiyana,168,2.49:1,0.506,0.0241,0.0171,163.59,11114
Olaf,167,1.69:1,0.4611,0.0239,0.0167,182.46,11012
Nunu & Willump,165,3.25:1,0.5212,0.0245,0.0032,144.37,9899
Teemo,163,2.0:1,0.546,0.0234,0.013,181.66,10854
Kayle,159,1.74:1,0.4969,0.0228,0.0154,201.79,11263
Riven,150,1.66:1,0.4933,0.0218,0.0068,191.83,11250
Shyvana,149,2.15:1,0.5101,0.0214,0.0043,194.5,11413
Zoe,146,2.86:1,0.5068,0.0209,0.0182,162.16,10639
Cassiopeia,132,2.12:1,0.4697,0.0189,0.0131,192.21,10707
Janna,131,2.75:1,0.4122,0.019,0.0025,15.44,6838
Kennen,126,2.09:1,0.4921,0.0182,0.0143,162.38,10182
Urgot,121,1.85:1,0.405,0.0176,0.0106,190.12,11291
Ryze,120,2.22:1,0.4167,0.0174,0.0014,199.8,10553
Sona,103,2.91:1,0.4369,0.016,0.0012,15.23,7226
Renata Glasc,100,3.09:1,0.45,0.0146,0.0018,22.8,7240
Ivern,98,3.54:1,0.4694,0.014,0.0216,117.64,8877
