Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Miss Fortune,505766,3.37:1,0.5011,0.128,0,67.96,15250
Caitlyn,503489,3.51:1,0.5146,0.1275,0,62.58,15065
Ezreal,496977,3.74:1,0.4782,0.1258,0,59.05,14658
Lux,494078,4.89:1,0.5243,0.1251,0,52.42,14342
Jhin,483505,4.15:1,0.5121,0.1224,0,64.5,15441
Veigar,478356,3.35:1,0.5231,0.1211,0,62.35,14467
Jinx,478247,3.41:1,0.5033,0.1211,0,69.86,14771
Ashe,472672,3.52:1,0.492,0.1197,0,53.7,13652
Morgana,463137,4.38:1,0.5128,0.1173,0,38.73,13833
Varus,459096,3.77:1,0.496,0.1162,0,56.84,15283
Brand,451757,3.17:1,0.5183,0.1144,0,48.62,14372
Ahri,435963,3.36:1,0.5072,0.1104,0,50.63,14028
Nidalee,431644,4.35:1,0.4805,0.1093,0,25.33,14551
Pyke,425676,3.0:1,0.4477,0.1078,0,12.54,14562
Malphite,421741,2.8:1,0.5047,0.1068,0,31.15,13933
Kai'Sa,415249,3.87:1,0.4897,0.1051,0,58.35,15120
Thresh,399351,3.83:1,0.5055,0.1011,0,24.66,12873
Twitch,398558,3.09:1,0.4871,0.1009,0,56.26,15156
Lucian,398286,3.02:1,0.4778,0.1008,0,73.55,15311
Vel'Koz,392233,3.88:1,0.5123,0.0993,0,44.16,14194
Tristana,378462,2.74:1,0.4899,0.0958,0,68.66,14871
Blitzcrank,370092,3.0:1,0.4888,0.0937,0,17.88,12799
Vayne,369606,2.49:1,0.4868,0.0936,0,57.38,14469
Zed,367543,2.85:1,0.4592,0.0931,0,49.15,15322
Xayah,358748,3.14:1,0.4758,0.0908,0,77.72,14831
Senna,358613,4.33:1,0.5112,0.0908,0,46.38,15103
Teemo,357954,2.85:1,0.5239,0.0906,0,44.27,14379
Karma,354781,4.24:1,0.5002,0.0898,0,30.99,13516
Cho'Gath,346628,3.16:1,0.5145,0.0878,0,40.14,14029
Sivir,342941,3.7:1,0.5139,0.0868,0,90.96,14814
Kayle,337863,3.18:1,0.5201,0.0855,0,69.74,14470
Graves,334846,3.13:1,0.518,0.0848,0,72,16066
Twisted Fate,322836,3.19:1,0.5206,0.0817,0,51.19,14354
Lee Sin,319287,3.11:1,0.4684,0.0808,0,34,15128
Fizz,319162,2.64:1,0.5096,0.0808,0,28.74,14759
Nautilus,317156,3.19:1,0.5193,0.0803,0,22.23,12569
Katarina,312605,2.55:1,0.4452,0.0791,0,38.75,14882
Neeko,311456,3.29:1,0.518,0.0789,0,45.1,13917
Pantheon,307033,2.91:1,0.5038,0.0777,0,28.85,14966
Karthus,302574,2.9:1,0.498,0.0766,0,61.63,15508
Xerath,301147,4.59:1,0.5,0.0762,0,44.48,14443
Draven,295192,2.98:1,0.4937,0.0747,0,63.7,16264
Master Yi,294621,2.37:1,0.502,0.0746,0,35.6,14905
Mordekaiser,293942,2.83:1,0.504,0.0744,0,38.24,13919
Akali,292285,2.62:1,0.4408,0.074,0,27.43,14286
Yasuo,291695,2.39:1,0.5022,0.0738,0,74.4,14725
Shaco,288167,3.36:1,0.4952,0.073,0,29.83,14886
Ekko,283963,2.85:1,0.4998,0.0719,0,37.16,14532
LeBlanc,279679,2.93:1,0.4004,0.0708,0,28.56,14228
Maokai,277973,3.16:1,0.5074,0.0704,0,30.6,13008
Ziggs,276740,3.93:1,0.5123,0.0701,0,57.79,14145
Garen,275334,2.87:1,0.5134,0.0697,0,41.84,14173
Kha'Zix,272895,2.81:1,0.4611,0.0691,0,32,15219
Swain,272307,3.61:1,0.5224,0.0689,0,43.44,13733
Janna,269041,5.48:1,0.5329,0.0681,0,22.4,12436
