Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Ezreal,47671,3.94:1,0.4963,0.1322,0,59.39,13605
Miss Fortune,45566,3.65:1,0.5009,0.1263,0,62.64,13906
Jhin,45243,4.48:1,0.5037,0.1254,0,62.58,14219
Caitlyn,44697,3.61:1,0.5083,0.1239,0,63.61,13850
Varus,43855,4.06:1,0.5181,0.1216,0,55.46,14103
Ashe,43758,3.79:1,0.5041,0.1213,0,51.49,12682
Jinx,42980,3.67:1,0.5256,0.1192,0,69.55,13759
Veigar,42162,3.67:1,0.518,0.1169,0,54.33,13104
Kai'Sa,40612,3.88:1,0.4783,0.1126,0,60.21,13947
Brand,40587,3.43:1,0.5427,0.1125,0,47.19,13267
Lux,40038,5.11:1,0.5369,0.111,0,47.43,13064
Lucian,39828,3.23:1,0.4921,0.1104,0,71.18,14285
Morgana,39802,4.52:1,0.5209,0.1104,0,35.23,12680
Malphite,38490,2.91:1,0.5128,0.1067,0,26.01,12502
Ahri,37916,3.51:1,0.5022,0.1051,0,46.69,12798
Thresh,36322,3.88:1,0.5015,0.1007,0,18.57,11611
Pyke,35816,3.19:1,0.4562,0.0993,0,10.81,13329
Sivir,35545,4.06:1,0.542,0.0986,0,87.76,13809
Cho'Gath,35525,3.17:1,0.5009,0.0985,0,33.47,12714
Nidalee,35387,4.5:1,0.4898,0.0981,0,24.02,13377
Xayah,34734,3.41:1,0.4765,0.0963,0,75.72,13813
Twisted Fate,34225,3.53:1,0.5445,0.0949,0,47.75,13193
Graves,33906,3.23:1,0.5161,0.094,0,69.24,14739
Vayne,33664,2.71:1,0.4877,0.0933,0,56.29,13440
Twitch,33551,3.37:1,0.4826,0.093,0,55.58,14025
Karma,33230,4.45:1,0.5166,0.0921,0,27.78,12320
Tristana,32399,2.92:1,0.4778,0.0898,0,67.13,13815
Vel'Koz,32344,4.23:1,0.5378,0.0897,0,40.13,13061
Aatrox,32259,2.74:1,0.4931,0.0894,0,33.09,12791
Lee Sin,31707,3.25:1,0.4776,0.0879,0,31.32,13725
Zed,31509,2.96:1,0.4695,0.0874,0,46.27,13979
Kayle,31199,3.42:1,0.4876,0.0865,0,65.37,13371
Maokai,30424,3.25:1,0.5128,0.0844,0,23.85,11794
Blitzcrank,30242,3.19:1,0.5109,0.0838,0,13.3,11437
Senna,30113,4.66:1,0.5106,0.0835,0,40.83,13778
Jarvan IV,29159,3.51:1,0.5007,0.0808,0,29.02,13369
LeBlanc,28782,3.19:1,0.412,0.0798,0,26.64,13060
Nautilus,28573,3.16:1,0.5073,0.0792,0,16.75,11293
Kha'Zix,28441,3.07:1,0.4905,0.0789,0,31.01,13961
Darius,28390,2.57:1,0.4845,0.0787,0,36.35,12779
Jayce,28301,3.95:1,0.5151,0.0785,0,44.9,14437
Pantheon,28249,2.93:1,0.494,0.0783,0,25.05,13503
Mordekaiser,28125,2.88:1,0.5002,0.078,0,33.23,12704
Karthus,28099,2.83:1,0.5228,0.0779,0,57.78,14325
Akali,27805,2.77:1,0.4511,0.0771,0,25.84,13136
Katarina,27651,2.69:1,0.448,0.0767,0,34.79,13544
Garen,27625,2.88:1,0.5037,0.0766,0,35.64,12967
Aurelion Sol,26386,3.56:1,0.49,0.0732,0,65.62,13833
Teemo,26176,2.99:1,0.499,0.0726,0,40.09,13169
Yasuo,25972,2.47:1,0.4837,0.072,0,63.36,13292
Neeko,25854,3.5:1,0.5344,0.0717,0,39.91,12636
Master Yi,25671,2.49:1,0.4923,0.0712,0,32.18,13532
Draven,25666,3.18:1,0.4895,0.0712,0,63.4,15106
Fizz,25627,2.73:1,0.5143,0.0711,0,25.28,13336
Vladimir,25417,3.16:1,0.4718,0.0705,0,43.12,12894
Swain,25278,3.77:1,0.517,0.0701,0,37.83,12449
Xerath,25248,4.97:1,0.5138,0.07,0,38.83,13201
Renekton,24891,2.73:1,0.5166,0.069,0,46.49,12977
Tryndamere,24796,3.09:1,0.5321,0.0688,0,45.65,13149
Sylas,24661,2.78:1,0.5015,0.0684,0,24.14,12854
Ryze,24321,3.59:1,0.4875,0.0674,0,59.26,13210
Yone,23742,2.65:1,0.4785,0.0658,0,53.8,13501
Ziggs,23733,4.32:1,0.5405,0.0658,0,53.69,13013
Kog'Maw,23434,3.54:1,0.5273,0.065,0,60.48,14428
Ekko,23364,2.9:1,0.4929,0.0648,0,33.1,13260
Vex,23124,3.53:1,0.5136,0.0641,0,44.6,13084
Zeri,23113,3.48:1,0.4987,0.0641,0,84.1,14179
Aphelios,22798,3.12:1,0.4707,0.0632,0,68.79,13661
Lillia,22671,3.4:1,0.5494,0.0629,0,41.68,13091
Annie,22645,3.32:1,0.5055,0.0628,0,27.53,12458
Viktor,22496,3.7:1,0.5184,0.0624,0,51.68,13658
Janna,22347,5.57:1,0.5237,0.062,0,19.58,11417
Seraphine,22345,4.74:1,0.5365,0.062,0,42.42,12361
Soraka,22180,5.22:1,0.4767,0.0615,0,9.32,11006
Lulu,22092,4.77:1,0.463,0.0613,0,16.85,11193
Samira,21916,2.76:1,0.4864,0.0608,0,59.85,14557
Amumu,21385,2.86:1,0.5155,0.0593,0,17.93,11582
Sett,21380,2.71:1,0.5024,0.0593,0,32.07,12474
Gangplank,20883,3.4:1,0.4986,0.0579,0,59.22,14816
Wukong,20841,2.8:1,0.5025,0.0578,0,28.31,13047
Jax,20764,2.3:1,0.486,0.0576,0,27.61,12911
Leona,20297,2.93:1,0.5195,0.0563,0,14,11198
Quinn,20153,3.14:1,0.4804,0.0559,0,47.55,13759
Orianna,20138,4.67:1,0.5236,0.0558,0,45.7,13040
Zoe,20102,3.68:1,0.4889,0.0557,0,32.86,13274
Syndra,20089,3.52:1,0.4808,0.0557,0,49.19,13305
Shaco,19864,3.51:1,0.5063,0.0551,0,25.56,13490
Fiddlesticks,19858,3.0:1,0.5213,0.0551,0,34.38,12524
Sona,19842,4.98:1,0.5105,0.055,0,15.52,11425
Heimerdinger,19691,3.74:1,0.525,0.0546,0,51.77,13086
Rumble,19563,3.11:1,0.5201,0.0542,0,37.6,13230
Illaoi,19506,2.57:1,0.5288,0.0541,0,44.26,12850
Malzahar,19337,3.64:1,0.5223,0.0536,0,82.7,13251
Irelia,18929,2.48:1,0.4749,0.0525,0,68.07,13532
Corki,18808,3.5:1,0.4912,0.0521,0,51.57,13716
Anivia,18586,3.95:1,0.4896,0.0515,0,55.72,13291
Sion,18519,2.53:1,0.5388,0.0513,0,40.37,12875
Taliyah,18514,3.51:1,0.5402,0.0513,0,51.7,13564
Zyra,18177,3.98:1,0.5251,0.0504,0,49.94,12969
Gragas,17938,3.2:1,0.4805,0.0497,0,25.36,12377
Riven,17643,2.63:1,0.4885,0.0489,0,36.6,12955
Fiora,17453,2.56:1,0.4851,0.0484,0,35.11,12757
Diana,17269,2.98:1,0.5378,0.0479,0,34.66,13091
Akshan,17239,3.01:1,0.4845,0.0478,0,61.35,14323
Viego,17124,2.76:1,0.4759,0.0475,0,29.74,13510
Lissandra,17067,3.19:1,0.5256,0.0473,0,51.95,12944
Zilean,17001,4.78:1,0.4747,0.0471,0,45.04,12626
Nasus,16996,3.04:1,0.4931,0.0471,0,53.98,12932
Nunu & Willump,16224,3.4:1,0.4851,0.045,0,32.03,12422
Azir,16106,3.06:1,0.4924,0.0447,0,55.61,13374
K'Sante,16043,2.96:1,0.4782,0.0445,0,35.3,12293
Braum,15868,3.94:1,0.4966,0.044,0,10.13,11272
Tahm Kench,15308,3.44:1,0.5063,0.0424,0,20.44,12080
Dr. Mundo,15189,2.78:1,0.4911,0.0421,0,32.88,12070
Galio,14934,3.33:1,0.5332,0.0414,0,28.72,12007
Bel'Veth,14844,2.69:1,0.4615,0.0412,0,44.05,13150
Yuumi,14799,8.58:1,0.5016,0.041,0,5.59,11411
Singed,14568,2.87:1,0.5139,0.0404,0,37.77,12267
Poppy,14464,3.06:1,0.513,0.0401,0,22.77,12225
Kayn,14462,2.39:1,0.4721,0.0401,0,33.33,13044
Kindred,14258,3.13:1,0.4631,0.0395,0,61.97,13785
Talon,14251,2.79:1,0.4872,0.0395,0,44.57,14455
Alistar,14130,3.58:1,0.5,0.0392,0,12.5,11468
Nami,14123,5.65:1,0.5051,0.0392,0,10.59,11455
Vi,13750,2.4:1,0.4868,0.0381,0,25.32,13147
Shyvana,13647,3.08:1,0.4911,0.0378,0,43.85,13101
Renata Glasc,13454,4.45:1,0.5096,0.0373,0,16.49,11452
Gwen,13418,2.77:1,0.4811,0.0372,0,36.15,12737
Bard,13312,4.34:1,0.4579,0.0369,0,29.26,12863
Sejuani,13191,3.23:1,0.5018,0.0366,0,27.1,12103
Gnar,13144,3.07:1,0.4805,0.0364,0,37.86,12844
Ornn,13100,3.15:1,0.4929,0.0363,0,25.85,11881
Xin Zhao,12852,2.52:1,0.5025,0.0356,0,31.93,13222
Kennen,12835,3.01:1,0.5176,0.0356,0,33.96,12807
Urgot,12529,2.73:1,0.4896,0.0347,0,56.31,13055
Warwick,12383,2.61:1,0.5055,0.0343,0,27.82,12636
Kassadin,12238,2.75:1,0.4653,0.0339,0,33.2,13105
Udyr,12223,3.04:1,0.5344,0.0339,0,30.4,12482
Naafiri,12044,2.55:1,0.4244,0.0334,0,45.36,13382
Volibear,12010,2.82:1,0.4842,0.0333,0,27.31,12095
Camille,11700,2.61:1,0.4937,0.0324,0,27.73,12632
Milio,11631,6.02:1,0.5004,0.0322,0,16.96,11211
Briar,11077,2.19:1,0.3846,0.0445,0,29.59,12150
Cassiopeia,11036,3.49:1,0.4738,0.0306,0,47.13,13260
Shen,11033,3.63:1,0.5075,0.0306,0,20.05,12261
Zac,10685,3.17:1,0.5183,0.0296,0,21.97,11958
Rakan,10390,4.17:1,0.5038,0.0288,0,10.79,11025
Nocturne,9929,2.73:1,0.4902,0.0275,0,34.06,13277
Rammus,9824,2.78:1,0.51,0.0272,0,20.27,11640
Nilah,9660,2.8:1,0.4899,0.0268,0,66.76,13709
Qiyana,9597,2.65:1,0.4379,0.0266,0,29.7,13449
Trundle,9122,3.33:1,0.4968,0.0253,0,26.7,12057
Taric,8628,4.09:1,0.5092,0.0239,0,18.88,11274
Kalista,8443,3.28:1,0.4776,0.0234,0,67.53,14147
Ivern,8435,4.73:1,0.4976,0.0234,0,10.69,10948
Elise,8358,3.36:1,0.4977,0.0232,0,28.29,12995
Hecarim,8005,2.72:1,0.431,0.0222,0,32.76,12650
Rengar,7772,2.39:1,0.4514,0.0215,0,28.39,13531
Rell,7097,3.64:1,0.4949,0.0197,0,12.36,11252
Rek'Sai,6410,2.87:1,0.5128,0.0178,0,22.22,13075
Yorick,6324,3.13:1,0.5062,0.0175,0,53.36,12347
Olaf,5930,2.61:1,0.4985,0.0164,0,42.52,13081
Evelynn,5735,3.12:1,0.4295,0.0159,0,19.56,12976
Kled,4634,3.29:1,0.4704,0.0128,0,31.44,12578
Skarner,4108,3.03:1,0.5037,0.0114,0,22.27,12014
