Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Ezreal,905314,3.8:1,0.5034,0.1337,0,64.03,13976
Jhin,873926,4.47:1,0.5251,0.1291,0,64.77,14670
Miss Fortune,871832,3.6:1,0.5033,0.1287,0,61.07,13988
Caitlyn,868427,3.49:1,0.5215,0.1282,0,67.62,14179
Ashe,864539,3.68:1,0.5119,0.1277,0,53.31,12954
Varus,841202,3.92:1,0.5219,0.1242,0,56.49,14485
Jinx,835050,3.41:1,0.5122,0.1233,0,74.96,14102
Lux,817242,4.81:1,0.5205,0.1207,0,48.43,13308
Kai'Sa,815155,3.96:1,0.4904,0.1204,0,60.94,14386
Nidalee,797696,4.52:1,0.5037,0.1178,0,26.87,13865
Malphite,789767,2.78:1,0.5074,0.1166,0,26.47,13084
Lucian,785709,3.14:1,0.4891,0.116,0,75.71,14678
Blitzcrank,768440,3.09:1,0.5064,0.1135,0,15.07,11967
Ahri,747454,3.33:1,0.4952,0.1104,0,47.6,13153
Morgana,737829,4.22:1,0.5097,0.109,0,34.97,12898
Veigar,734643,3.4:1,0.5107,0.1085,0,55.25,13406
Pyke,707303,3.19:1,0.4604,0.1045,0,11.12,13792
Thresh,679320,3.89:1,0.5232,0.1003,0,20.04,11977
Vayne,679127,2.61:1,0.4936,0.1003,0,60.35,13876
Brand,676439,3.17:1,0.5184,0.0999,0,47.57,13519
Zed,671624,3.0:1,0.4724,0.0992,0,49.99,14559
Lee Sin,660887,3.23:1,0.4773,0.0976,0,32.44,14279
Xayah,659397,3.24:1,0.4714,0.0974,0,80.58,14199
Sivir,658018,3.85:1,0.5312,0.0972,0,93.04,14164
LeBlanc,653163,3.24:1,0.4257,0.0965,0,27.53,13630
Xerath,644174,4.7:1,0.5174,0.0951,0,40.19,13474
Graves,639037,3.2:1,0.5174,0.0944,0,72.95,15351
Jayce,638842,3.9:1,0.5156,0.0943,0,47.87,14866
Karma,619500,4.25:1,0.5054,0.0915,0,27.94,12610
Teemo,614810,2.91:1,0.5147,0.0908,0,40.12,13514
Senna,614187,4.48:1,0.51,0.0907,0,46.99,14181
Sylas,603329,2.75:1,0.5188,0.0891,0,25.14,13541
Twisted Fate,595215,3.17:1,0.5133,0.0879,0,46.66,13359
Tristana,592227,2.78:1,0.4766,0.0875,0,69.76,14123
Twitch,573221,3.16:1,0.4791,0.0847,0,58.73,14495
Aatrox,569695,2.74:1,0.5055,0.0841,0,34.53,13305
Vel'Koz,563068,3.87:1,0.515,0.0832,0,39.77,13191
Maokai,560791,3.23:1,0.5282,0.0828,0,26.09,12208
Neeko,546703,3.31:1,0.5201,0.0807,0,40.02,12927
Kayle,540278,3.31:1,0.5116,0.0798,0,69.67,13892
Nautilus,537951,3.16:1,0.5268,0.0794,0,17.77,11724
Akali,537827,2.72:1,0.4474,0.0794,0,26.91,13709
