Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Miss Fortune,407442,3.5:1,0.5046,0.1253,0,65.14,14764
Caitlyn,405866,3.58:1,0.5119,0.1248,0,62.29,14654
Ezreal,394736,3.84:1,0.4804,0.1214,0,58.47,14313
Lux,393374,5.06:1,0.5315,0.121,0,51.26,13918
Jhin,391503,4.28:1,0.5079,0.1204,0,62.61,15039
Jinx,383237,3.5:1,0.5063,0.1179,0,68.58,14384
Veigar,382913,3.51:1,0.5274,0.1178,0,58.86,13992
Ashe,381833,3.6:1,0.4942,0.1175,0,52.43,13323
Morgana,375462,4.5:1,0.518,0.1155,0,37.93,13463
Varus,368394,3.91:1,0.5058,0.1133,0,56.05,14934
Brand,358950,3.32:1,0.5314,0.1104,0,48.03,14030
Ahri,346842,3.47:1,0.5056,0.1067,0,49.4,13623
Kai'Sa,338478,3.86:1,0.4834,0.1041,0,58.15,14659
Lucian,330498,3.13:1,0.4842,0.1017,0,72.45,15008
Malphite,327646,2.85:1,0.5125,0.1008,0,29.62,13408
Nidalee,327495,4.36:1,0.474,0.1007,0,24.55,14074
Thresh,322606,3.81:1,0.5019,0.0992,0,23.22,12463
Twitch,318574,3.22:1,0.4904,0.098,0,55.02,14791
Pyke,315274,3.03:1,0.4462,0.097,0,12.36,14133
Vayne,305876,2.61:1,0.4915,0.0941,0,56.67,14164
Blitzcrank,305781,3.04:1,0.4952,0.0941,0,16.12,12249
Tristana,303103,2.85:1,0.4926,0.0932,0,67.25,14535
Cho'Gath,301571,3.17:1,0.5115,0.0928,0,37.53,13585
Vel'Koz,301527,4.03:1,0.5232,0.0928,0,42.7,13798
Teemo,298078,2.91:1,0.5137,0.0917,0,42.33,13922
Senna,296815,4.47:1,0.511,0.0913,0,44.66,14605
Xayah,292342,3.29:1,0.4812,0.0899,0,75.64,14546
Sivir,287018,3.81:1,0.5224,0.0883,0,88.09,14439
Graves,286533,3.21:1,0.5184,0.0881,0,70.79,15619
Kayle,286130,3.3:1,0.5137,0.088,0,67.03,14088
Karma,283813,4.38:1,0.5027,0.0873,0,29.47,13062
Twisted Fate,269310,3.27:1,0.5176,0.0828,0,49.72,13917
Nautilus,268894,3.15:1,0.5101,0.0827,0,21.06,12136
Zed,261740,2.89:1,0.4558,0.0805,0,48.39,14865
Pantheon,255118,2.92:1,0.4991,0.0785,0,27.96,14514
Mordekaiser,252266,2.91:1,0.5093,0.0776,0,36.85,13574
Aurelion Sol,242322,3.43:1,0.4973,0.0745,0,68.83,14717
Fizz,238785,2.68:1,0.5125,0.0735,0,27.33,14245
Xerath,238704,4.73:1,0.4987,0.0734,0,42.85,13946
Soraka,238235,5.21:1,0.4896,0.0733,0,10.93,11647
Karthus,237653,2.85:1,0.5058,0.0731,0,60.48,15102
Neeko,236356,3.39:1,0.5205,0.0727,0,43.5,13453
Draven,235714,3.09:1,0.4966,0.0725,0,62.7,15952
Lee Sin,235655,3.13:1,0.4618,0.0725,0,32.97,14613
Garen,231372,2.89:1,0.5051,0.0712,0,38.99,13716
Janna,227322,5.52:1,0.5344,0.0699,0,21.65,12071
Master Yi,227103,2.42:1,0.4981,0.0699,0,34.21,14450
Ziggs,226140,4.06:1,0.5199,0.0696,0,55.41,13683
Swain,225373,3.71:1,0.5239,0.0693,0,41.4,13308
Annie,224292,3.23:1,0.5229,0.069,0,30.26,13223
Katarina,224272,2.61:1,0.4406,0.069,0,36.81,14352
Akali,224223,2.72:1,0.4407,0.069,0,26.83,13879
Maokai,224068,3.17:1,0.5031,0.0689,0,27.61,12525
Darius,221111,2.59:1,0.489,0.068,0,39.55,13606
Yasuo,220076,2.45:1,0.5002,0.0677,0,70.63,14256
Seraphine,219221,4.54:1,0.5235,0.0674,0,47.47,13156
Lillia,218681,3.25:1,0.5402,0.0673,0,44.88,13881
Sona,217296,4.88:1,0.5114,0.0668,0,16.92,12140
Jarvan IV,217148,3.47:1,0.4892,0.0668,0,32.78,14377
Kog'Maw,216195,3.34:1,0.5265,0.0665,0,61.86,15191
Jayce,215957,3.76:1,0.4938,0.0664,0,45.51,15274
