Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Ezreal,"196,392",3.89:1,0.5018,0.1197,0,64.95,"14,255"
Miss Fortune,"189,855",3.55:1,0.4953,0.1157,0,66.15,"14,475"
Caitlyn,"189,831",3.58:1,0.5167,0.1157,0,66.6,"14,457"
Jhin,"187,850",4.5:1,0.5236,0.1145,0,67.15,"14,950"
Kai'Sa,"185,598",3.87:1,0.4818,0.1131,0,63.68,"14,532"
Ashe,"183,045",3.73:1,0.5078,0.1116,0,54.2,"13,185"
Varus,"179,914",3.93:1,0.51,0.1097,0,58.39,"14,702"
Jinx,"179,736",3.63:1,0.517,0.1096,0,70.83,"14,304"
Lucian,"169,755",3.19:1,0.5002,0.1035,0,76.66,"14,985"
Lux,"169,605",5.0:1,0.5241,0.1034,0,49.9,"13,569"
Veigar,"164,221",3.58:1,0.5201,0.1001,0,59.28,"13,710"
Malphite,"162,658",2.85:1,0.5088,0.0992,0,28.09,"13,123"
Zed,"162,400",3.02:1,0.4799,0.099,0,51.21,"14,805"
Morgana,"159,914",4.46:1,0.5219,0.0975,0,37.74,"13,187"
Thresh,"159,813",4.06:1,0.5248,0.0974,0,20.37,"12,152"
Blitzcrank,"155,502",3.21:1,0.514,0.0948,0,15.18,"11,961"
Brand,"155,192",3.31:1,0.5214,0.0946,0,49.47,"13,720"
Nidalee,"154,913",4.55:1,0.4981,0.0944,0,26.36,"13,958"
Ahri,"153,861",3.49:1,0.5004,0.0938,0,50.72,"13,382"
Vayne,"151,766",2.76:1,0.5035,0.0925,0,61.24,"14,056"
Jayce,"151,437",3.88:1,0.5092,0.0923,0,47.8,"15,075"
Graves,"148,690",3.22:1,0.5195,0.0906,0,74.38,"15,521"
Lee Sin,"146,319",3.23:1,0.4702,0.0892,0,34.25,"14,368"
Sivir,"144,680",3.99:1,0.5389,0.0882,0,92.94,"14,395"
Xayah,"141,581",3.34:1,0.478,0.0863,0,81.55,"14,505"
Pyke,"141,439",3.23:1,0.4474,0.0862,0,11.78,"13,968"
Twitch,"141,300",3.3:1,0.4738,0.0861,0,57.89,"14,606"
Yasuo,"139,587",2.52:1,0.5005,0.0851,0,68.58,"13,864"
Senna,"138,611",4.57:1,0.5121,0.0845,0,44.88,"14,393"
Gangplank,"137,555",3.39:1,0.5088,0.0838,0,64.12,"15,842"
Jarvan IV,"136,533",3.46:1,0.4918,0.0832,0,31.96,"14,124"
Xerath,"134,862",4.8:1,0.5042,0.0822,0,40.85,"13,637"
LeBlanc,"134,786",3.25:1,0.4223,0.0822,0,28.89,"13,739"
Tristana,"133,882",2.89:1,0.482,0.0816,0,71.23,"14,371"
Twisted Fate,"133,372",3.31:1,0.5232,0.0813,0,49.46,"13,580"
Aatrox,"132,861",2.78:1,0.5059,0.081,0,36.24,"13,517"
Kha'Zix,"132,164",3.09:1,0.4887,0.0806,0,34.69,"14,677"
Teemo,"129,943",2.97:1,0.4993,0.0792,0,41.61,"13,673"
Cho'Gath,"129,297",3.22:1,0.4981,0.0788,0,35.79,"13,329"
Samira,"129,063",2.72:1,0.4914,0.0787,0,64,"15,390"
Karma,"127,339",4.49:1,0.5103,0.0776,0,29.21,"12,790"
Fizz,"122,873",2.75:1,0.513,0.0749,0,28.88,"14,071"
Katarina,"122,854",2.68:1,0.4323,0.0749,0,38.76,"14,215"
Shaco,"122,424",3.48:1,0.4915,0.0746,0,26.61,"14,071"
Kayle,"121,742",3.41:1,0.5047,0.0742,0,70.54,"13,970"
Aurelion Sol,"120,396",3.49:1,0.4788,0.0734,0,68.37,"14,365"
Kog'Maw,"120,372",3.39:1,0.5183,0.0734,0,63.98,"14,905"
Vel'Koz,"118,928",4.01:1,0.5186,0.0725,0,41.18,"13,471"
Darius,"118,640",2.64:1,0.487,0.0723,0,40.19,"13,545"
Yone,"117,953",2.64:1,0.4729,0.0719,0,58.15,"14,102"
Sylas,"115,000",2.79:1,0.507,0.0701,0,26.29,"13,463"
Draven,"114,371",3.12:1,0.4965,0.0697,0,67.2,"15,902"
Garen,"114,307",2.94:1,0.5073,0.0697,0,37.97,"13,632"
Maokai,"114,115",3.28:1,0.5215,0.0696,0,26.96,"12,349"
Syndra,"113,640",3.42:1,0.4903,0.0693,0,52.81,"13,893"
Orianna,"112,828",4.6:1,0.5315,0.0688,0,48.77,"13,637"
Master Yi,"112,243",2.53:1,0.4919,0.0684,0,35.21,"14,165"
Nautilus,"110,715",3.24:1,0.5225,0.0675,0,19.06,"11,814"
Aphelios,"110,702",3.02:1,0.46,0.0675,0,70.31,"14,254"
Swain,"110,442",3.7:1,0.506,0.0673,0,39.53,"12,931"
Malzahar,"108,003",3.55:1,0.5317,0.0658,0,84.11,"13,656"
Fiddlesticks,"106,923",2.96:1,0.5102,0.0652,0,35.52,"12,985"
Gragas,"106,748",3.24:1,0.4988,0.0651,0,29.8,"13,209"
Neeko,"106,376",3.38:1,0.5223,0.0648,0,41.86,"13,116"
Akali,"106,173",2.73:1,0.4301,0.0647,0,27.04,"13,707"
Ziggs,"104,998",4.12:1,0.5298,0.064,0,54.79,"13,418"
Pantheon,"104,932",2.9:1,0.4972,0.064,0,27.41,"14,187"
Zoe,"104,689",3.7:1,0.5022,0.0638,0,34.91,"13,891"
Tryndamere,"103,402",3.14:1,0.5395,0.063,0,50,"13,815"
Viktor,"102,719",3.62:1,0.5167,0.0626,0,55.44,"14,273"
Janna,"102,083",5.7:1,0.5507,0.0622,0,20.96,"11,907"
Karthus,"101,959",2.7:1,0.5123,0.0622,0,61.56,"14,949"
Rumble,"101,756",3.09:1,0.515,0.062,0,40.85,"13,903"
Renekton,"101,631",2.79:1,0.5276,0.062,0,50.95,"13,634"
Zeri,"100,131",3.37:1,0.5002,0.061,0,89.93,"14,827"
Mordekaiser,"99,631",2.91:1,0.4898,0.0607,0,36.52,"13,359"
Lillia,"98,218",3.28:1,0.5228,0.0599,0,43.07,"13,490"
Soraka,"97,995",5.24:1,0.4921,0.0597,0,9.86,"11,440"
Azir,"97,447",3.01:1,0.5013,0.0594,0,60.26,"14,009"
Corki,"97,406",3.41:1,0.4882,0.0594,0,54.44,"14,278"
Ekko,"97,175",2.91:1,0.4956,0.0592,0,36.31,"13,900"
Zyra,"96,973",3.81:1,0.5204,0.0591,0,52.67,"13,376"
Akshan,"96,208",2.92:1,0.4741,0.0586,0,62.35,"14,811"
Vladimir,"95,996",3.23:1,0.4997,0.0585,0,48.32,"13,633"
Lissandra,"95,686",3.09:1,0.5242,0.0583,0,55.52,"13,487"
Anivia,"93,447",3.93:1,0.4906,0.057,0,56.77,"13,773"
Wukong,"93,128",2.79:1,0.502,0.0568,0,32.1,"13,717"
Ryze,"93,055",3.51:1,0.4956,0.0567,0,65.03,"13,825"
Sett,"91,838",2.68:1,0.4922,0.056,0,35.79,"13,052"
Vex,"91,765",3.43:1,0.5081,0.0559,0,47.11,"13,622"
Viego,"91,497",2.76:1,0.4785,0.0558,0,31.83,"14,131"
Seraphine,"90,567",4.55:1,0.5212,0.0552,0,41.8,"12,675"
Lulu,"90,088",4.99:1,0.488,0.0549,0,17.41,"11,670"
Amumu,"90,033",2.85:1,0.5158,0.0549,0,20.34,"12,141"
Taliyah,"89,388",3.4:1,0.5295,0.0545,0,54.81,"14,088"
Heimerdinger,"88,000",3.56:1,0.5036,0.0536,0,55.05,"13,529"
Diana,"87,797",2.93:1,0.525,0.0535,0,37.64,"13,663"
Kennen,"86,196",3.0:1,0.5294,0.0525,0,36.21,"13,390"
Tahm Kench,"85,853",3.5:1,0.506,0.0523,0,21.5,"12,653"
Talon,"85,347",2.76:1,0.4732,0.052,0,48.73,"15,145"
Sona,"84,295",4.96:1,0.5219,0.0514,0,16.73,"11,967"
Quinn,"84,007",3.14:1,0.4795,0.0512,0,50.66,"14,346"
Riven,"83,994",2.71:1,0.5161,0.0512,0,41.9,"13,693"
Zilean,"83,455",4.74:1,0.4749,0.0509,0,46.51,"13,007"
Annie,"82,789",3.3:1,0.5153,0.0505,0,28.97,"12,991"
Kindred,"81,929",3.06:1,0.464,0.0499,0,64.99,"14,294"
Irelia,"81,723",2.5:1,0.4819,0.0498,0,79.19,"14,364"
Yuumi,"80,944",8.53:1,0.5061,0.0493,0,5.76,"11,860"
Illaoi,"80,429",2.52:1,0.5113,0.049,0,49.46,"13,517"
Nami,"79,468",5.72:1,0.5151,0.0484,0,11.67,"11,930"
Jax,"79,232",2.32:1,0.4901,0.0483,0,31.15,"13,511"
Alistar,"79,060",3.6:1,0.5086,0.0482,0,13.29,"12,002"
K'Sante,"78,483",3.06:1,0.4923,0.0478,0,38.55,"12,952"
Nasus,"77,170",3.12:1,0.5067,0.047,0,60.14,"13,648"
Leona,"76,566",2.98:1,0.5136,0.0467,0,14.92,"11,691"
Kayn,"75,870",2.38:1,0.4772,0.0462,0,36.24,"13,746"
Shen,"75,403",3.67:1,0.5112,0.046,0,21.44,"12,766"
Nunu & Willump,"74,562",3.33:1,0.482,0.0455,0,33.69,"12,992"
Vi,"74,378",2.31:1,0.4684,0.0453,0,28.62,"13,962"
Shyvana,"72,936",3.09:1,0.5034,0.0445,0,47.7,"13,582"
Fiora,"71,524",2.63:1,0.5007,0.0436,0,39.27,"13,332"
Bard,"71,269",4.25:1,0.4562,0.0434,0,33.71,"13,434"
Xin Zhao,"70,239",2.47:1,0.5004,0.0428,0,35.58,"13,929"
Kalista,"69,755",3.22:1,0.4828,0.0425,0,71.35,"14,675"
Sion,"69,569",2.51:1,0.5196,0.0424,0,42.68,"13,307"
Nocturne,"69,077",2.69:1,0.4932,0.0421,0,36.89,"14,058"
Cassiopeia,"67,621",3.33:1,0.4873,0.0412,0,49.65,"13,734"
Galio,"67,031",3.31:1,0.5228,0.0409,0,30.05,"12,437"
Rengar,"66,370",2.32:1,0.4529,0.0405,0,30.24,"14,297"
Gwen,"65,985",2.75:1,0.498,0.0402,0,40.73,"13,443"
Bel'Veth,"63,888",2.68:1,0.4608,0.0389,0,47.36,"13,760"
Qiyana,"63,720",2.62:1,0.4308,0.0388,0,32.22,"14,132"
Gnar,"63,467",3.03:1,0.4839,0.0387,0,40.76,"13,372"
Urgot,"63,134",2.77:1,0.4998,0.0385,0,60.85,"13,712"
Kassadin,"62,940",2.75:1,0.4744,0.0384,0,35.5,"13,794"
Zac,"61,242",3.14:1,0.5045,0.0373,0,22.93,"12,455"
Sejuani,"60,977",3.27:1,0.4982,0.0372,0,27.96,"12,597"
Singed,"60,261",2.9:1,0.5143,0.0367,0,39.38,"12,776"
Ornn,"59,650",3.1:1,0.4812,0.0364,0,27.38,"12,384"
Dr. Mundo,"58,409",2.87:1,0.4833,0.0356,0,35.6,"12,578"
Trundle,"58,027",3.42:1,0.5017,0.0354,0,29.89,"12,610"
Naafiri,"56,485",2.49:1,0.4221,0.0344,0,45.71,"14,110"
Warwick,"56,445",2.64:1,0.5008,0.0344,0,30.52,"13,183"
Braum,"55,032",4.09:1,0.5038,0.0335,0,10.91,"11,737"
Elise,"54,911",3.38:1,0.5138,0.0335,0,31.45,"13,644"
Poppy,"54,783",3.09:1,0.5102,0.0334,0,24.01,"12,771"
Renata Glasc,"54,525",4.54:1,0.5214,0.0332,0,17.35,"11,896"
